t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271516.8720531,12,57,-,0,0,405,210
1786271517.8803623,12,57,-,2,1,405,210
1786271518.893944,12,57,-,2,1,405,210
1786271519.9062815,12,57,-,2,1,405,210
1786271520.9068766,12,57,-,2,1,405,210
1786271521.9174047,12,57,-,2,1,405,210
1786271522.926683,12,57,-,2,1,405,210
1786271523.9319003,12,57,-,1,0,405,210
1786271524.9463978,12,57,-,2,1,405,210
1786271525.9564695,12,57,-,2,1,405,210
1786271526.9630558,42,60,-,100,54,7001,2047
1786271527.9711666,122,69,-,27,14,7001,1897
1786271528.9738197,125,71,-,100,61,7001,1935
1786271529.9867582,118,72,-,100,59,7001,2002
1786271530.995113,122,73,-,100,41,7001,2002
1786271532.0092964,123,74,-,100,62,7001,1912
1786271533.0218694,126,75,-,100,62,7001,1912
1786271534.0235293,127,75,-,100,53,7001,1995
1786271535.0272443,121,76,-,100,42,7001,2002
1786271536.0277224,130,77,-,100,61,7001,1950
1786271537.039194,130,78,-,100,62,7001,1957
1786271538.0424726,130,78,-,100,48,7001,2002
1786271539.0447924,129,79,-,96,46,7001,1980
1786271540.060678,132,79,-,100,62,7001,1927
1786271541.0788698,131,80,-,100,62,7001,1950
1786271542.081783,131,80,-,100,43,7001,1995
1786271543.0881145,131,81,-,97,52,7001,1935
1786271544.1031501,134,81,-,100,62,7001,1950
1786271545.1062376,112,80,-,100,62,7001,1867
1786271546.1070988,113,80,-,100,41,7001,1927
1786271547.1154318,113,79,-,100,60,7001,1845
1786271548.1180217,113,80,-,100,59,7001,1845
1786271549.1310163,113,79,-,100,41,7001,1927
1786271550.1413486,114,80,-,95,57,7001,1830
1786271551.1467397,113,80,-,100,60,7001,1837
1786271552.1605208,113,80,-,100,47,7001,1927
1786271553.1607773,114,80,-,96,50,7001,1845
1786271554.1629415,113,80,-,100,59,7001,1837
1786271555.1748652,113,80,-,100,56,7001,1927
1786271556.1876657,114,80,-,100,40,7001,1912
1786271557.1959636,113,81,-,100,60,7001,1815
1786271558.2034152,113,81,-,100,60,7001,1852
1786271559.2077858,113,81,-,100,41,7001,1935
1786271560.218189,113,81,-,100,60,7001,1837
1786271561.2307384,113,81,-,100,60,7001,1830
1786271562.2312424,113,80,-,100,41,7001,1927
1786271563.2338872,113,81,-,100,62,7001,1822
1786271564.2447522,114,81,-,100,59,7001,1800
1786271565.2459083,113,81,-,100,41,7001,1927
1786271566.2544522,114,81,-,97,56,7001,1837
1786271567.268742,113,82,-,100,60,7001,1822
1786271568.2752576,113,81,-,100,49,7001,1927
1786271569.2901697,113,81,-,100,60,7001,1830
1786271570.2911158,113,82,-,100,58,7001,1830
1786271571.293597,113,82,-,100,41,7001,1920
1786271572.2996736,114,81,-,100,59,7001,1845
1786271573.3134408,113,82,-,100,60,7001,1830
1786271574.3307414,113,82,-,100,41,7001,1927
1786271575.3406856,114,81,-,100,59,7001,1845
1786271576.3553593,113,82,-,100,59,7001,1837
1786271577.3627365,113,82,-,100,41,7001,1927
1786271578.37592,114,81,-,98,62,7001,1912
1786271579.3795547,113,81,-,100,60,7001,1815
1786271580.3941925,113,82,-,100,43,7001,1897
1786271581.410073,113,81,-,95,53,7001,1927
1786271582.410842,113,82,-,100,59,7001,1815
1786271583.419796,113,82,-,100,51,7001,1822
1786271584.4208536,113,82,-,95,46,7001,1927
1786271585.4259107,113,82,-,100,60,7001,1830
1786271586.4282556,113,82,-,100,58,7001,1800
1786271587.4283893,113,82,-,100,41,7001,1927
1786271588.429162,114,82,-,100,59,7001,1837
1786271589.4342837,114,82,-,100,59,7001,1822
1786271590.438303,113,82,-,100,42,7001,1920
1786271591.4547076,114,82,-,100,59,7001,1852
1786271592.4612632,114,82,-,100,60,7001,1845
1786271593.4670265,113,82,-,100,41,7001,1927
1786271594.4824896,114,82,-,96,61,7001,1927
1786271595.4893923,113,82,-,100,60,7001,1845
1786271596.4922974,113,83,-,100,45,7001,1845
1786271597.5040162,111,78,-,55,37,7001,1995
1786271598.507708,45,73,-,0,0,7001,2025
1786271599.5207624,36,70,-,0,0,6001,510
1786271600.533709,21,69,-,0,0,6001,330
